A_Attr,S_Attr,BOW_Sum,Word_Score,Norm,Total_Words,Label
2,0,7,1.8330000000000002,2,more,0
2,0,2,0.526,1,equal,0
2,0,1,0,0,equal,0
2,0,10,2.515,4,more,0
2,0,7,2.6270000000000002,0,more,0
2,0,8,-0.8,3,less,0
2,0,2,2.492,0,more,0
2,0,2,-1.308,1,less,0
2,0,1,-0.03,1,less,0
2,0,12,-2.172,6,less,0
2,0,5,-0.32900000000000007,3,less,0
2,0,5,0.173,1,more,0
2,0,1,-1.104,1,less,0
2,0,11,-0.04700000000000007,3,more,0
2,0,2,0.5359999999999999,1,equal,0
2,0,3,0.9849999999999999,0,more,0
2,0,8,3.7710000000000004,0,more,0
2,0,6,-2.795,3,equal,0
2,0,2,-4.44,2,less,0
2,0,2,1.648,0,more,0
2,0,11,4.246,1,more,0
2,0,4,1.873,1,more,0
2,0,4,0.668,0,more,0
2,0,11,-0.01300000000000004,6,less,0
2,0,3,0.6629999999999999,0,more,0
2,0,2,-0.171,2,less,0
2,0,3,0.866,0,more,0
2,0,5,-0.875,3,less,0
2,0,8,3.4480000000000004,1,more,0
2,0,1,-0.342,1,less,0
2,0,11,0.517,4,more,0
2,0,8,-0.29899999999999993,4,equal,0
2,0,2,2.5260000000000002,0,more,0
2,0,8,6.710000000000001,0,more,0
2,0,3,0.495,0,more,0
2,0,2,-0.403,1,less,0
2,0,8,3.4680000000000004,1,more,0
2,0,3,-0.22199999999999998,3,less,0
2,0,6,2.323,0,more,0
2,0,4,0.7720000000000001,1,equal,0
2,0,3,-0.09100000000000003,1,more,0
2,0,8,2.169,0,more,0
2,0,3,0.917,0,more,0
2,0,2,0.032999999999999974,1,equal,0
2,0,2,-0.502,2,less,0
2,0,2,0,0,equal,0
2,0,2,-1.6219999999999999,2,less,0
2,0,5,3.846,0,more,0
2,0,3,0.7420000000000001,0,more,0
2,0,3,0.624,0,more,0
2,0,5,1.113,1,more,0
2,0,4,-0.3839999999999999,2,less,0
2,0,1,1.02,0,more,0
2,0,9,1.116,2,more,0
