ID,Tweet,A_Attr,S_Attr,D_label
andhartv_processed_1,artist stole beat song owes lot money,2,0,0
andhartv_processed_2,mali sir,2,0,0
andhartv_processed_3,let,2,0,0
andhartv_processed_4,sources finalizing terms former team carry league sources told join,2,0,0
andhartv_processed_5,tag sundae kids post maybe text back,2,0,0
andhartv_processed_6,hit years ago high school asking see years,2,0,0
andhartv_processed_7,alis kayo,2,0,0
andhartv_processed_8,damn good,2,0,0
andhartv_processed_9,help,2,0,0
andhartv_processed_10,dad took hamster went back college ended getting really attached today escaped,2,0,0
andhartv_processed_11,got nominated fucking actual fuck,2,0,0
andhartv_processed_12,new luke pts rebs year,2,0,0
andhartv_processed_13,cough,2,0,0
andhartv_processed_14,hello got benched bulls coach making egregious defensive errors friday felt,2,0,0
andhartv_processed_15,mag thesis,2,0,0
andhartv_processed_16,party time tonight,2,0,0
andhartv_processed_17,top mvp candidates order james luke james harden,2,0,0
andhartv_processed_18,fell hindi ang except sorry hindi,2,0,0
andhartv_processed_19,lonely lonely,2,0,0
andhartv_processed_20,follow find,2,0,0
andhartv_processed_21,get see different side fellow css members join groove music year,2,0,0
andhartv_processed_22,peat baby generously thanks,2,0,0
andhartv_processed_23,great wall text read,2,0,0
andhartv_processed_24,luke season pts rbs last four games pts pts pts pts,2,0,0
andhartv_processed_25,need jesus lives,2,0,0
andhartv_processed_26,bunny hops,2,0,0
andhartv_processed_27,dms list level,2,0,0
andhartv_processed_28,heads locker room scary fall,2,0,0
andhartv_processed_29,sources acquire bang bang joins team already includes,2,0,0
andhartv_processed_30,suspension,2,0,0
andhartv_processed_31,just orders grab philippines refund amount million riders due breaches pricing,2,0,0
andhartv_processed_32,super news sea games feeling die secondhand embarrassment,2,0,0
andhartv_processed_33,party thank,2,0,0
andhartv_processed_34,great games bring best thank congratulations greater glory,2,0,0
andhartv_processed_35,joke only wag,2,0,0
andhartv_processed_36,make stop,2,0,0
andhartv_processed_37,got give performances year tho nice colourful amazing,2,0,0
andhartv_processed_38,therapist therapist therapist,2,0,0
andhartv_processed_39,duke falls stephen austin stunning ending,2,0,0
andhartv_processed_40,felt cute might delete,2,0,0
andhartv_processed_41,red horse drank,2,0,0
andhartv_processed_42,luke talking multiple brands first time wearing nike,2,0,0
andhartv_processed_43,harry easter lights,2,0,0
andhartv_processed_44,returning play,2,0,0
andhartv_processed_45,lest forget,2,0,0
andhartv_processed_46,want back,2,0,0
andhartv_processed_47,hell none,2,0,0
andhartv_processed_48,reacted comment photo reacted comment,2,0,0
andhartv_processed_49,tell kids children,2,0,0
andhartv_processed_50,luke really warriors,2,0,0
andhartv_processed_51,sources finalizing buyout agreement immortals,2,0,0
andhartv_processed_52,first cat damn cute,2,0,0
andhartv_processed_53,laughing,2,0,0
andhartv_processed_54,points lead rockets half luke got points six dimes,2,0,0
andhartv_processed_55,khan expected sign reigning world champion phoenix sources tell after receiving,2,0,0
andhartv_processed_56,crazy ending wow,2,0,0
andhartv_processed_57,third one favourite,2,0,0
andhartv_processed_58,throwback,2,0,0
andhartv_processed_59,mom drink rip,2,0,0
andhartv_processed_60,hindi kami,2,0,0
andhartv_processed_61,still sends,2,0,0
andhartv_processed_62,bout way responsibilities,2,0,0
andhartv_processed_63,pts reb straight dal win row stays hot top,2,0,0
andhartv_processed_64,ate,2,0,0
andhartv_processed_65,tell kids,2,0,0
andhartv_processed_66,student councils organizations better sea games organizers,2,0,0
andhartv_processed_67,thanks brother,2,0,0
andhartv_processed_68,heron winning mvp,2,0,0
andhartv_processed_69,end flex basketball may other pang play bola,2,0,0
andhartv_processed_70,long time coming please welcome,2,0,0
andhartv_processed_71,growling tigers signing,2,0,0
